Transaction ID,Merchant,Amount,Zip Code,Tax ID,Date
TXN-200001,Amazon,129.99,10001,TX123,2025-06-14
TXN-200002,Walmart,45.50,30301,TX456,2025-04-22
TXN-200003,Target,78.20,,TX789,2025-03-18
TXN-200004,Costco,210.00,60601,,2025-05-09
TXN-200005,Best Buy,399.99,94105,TX123,2025-01-27
TXN-200006,Apple,999.00,,TX456,2025-02-11
TXN-200007,Nike,85.75,75201,TX789,2025-06-01
TXN-200008,Starbucks,12.45,10001,,2025-06-20
TXN-200009,Home Depot,156.30,30301,TX123,2025-04-03
TXN-200010,Uber,23.80,,TX456,2025-05-30
TXN-200011,Amazon,64.99,60601,,2025-01-19
TXN-200012,Walmart,34.10,94105,TX789,2025-02-25
TXN-200013,Target,120.00,75201,TX123,2025-03-02
TXN-200014,Costco,560.45,,TX456,2025-04-14
TXN-200015,Best Buy,249.99,10001,,2025-05-21
TXN-200016,Apple,199.00,30301,TX789,2025-06-08
TXN-200017,Nike,145.60,,TX123,2025-02-17
TXN-200018,Starbucks,9.80,60601,TX456,2025-03-29
TXN-200019,Home Depot,312.40,94105,,2025-04-07
TXN-200020,Uber,18.25,75201,TX789,2025-05-16
TXN-200021,Amazon,220.10,,TX123,2025-06-03
TXN-200022,Walmart,89.99,10001,,2025-01-30
TXN-200023,Target,47.60,30301,TX456,2025-02-09
TXN-200024,Costco,430.00,60601,TX789,2025-03-22
TXN-200025,Best Buy,799.95,,TX123,2025-04-19
TXN-200026,Apple,59.00,94105,,2025-05-11
TXN-200027,Nike,110.35,75201,TX456,2025-06-25
TXN-200028,Starbucks,15.20,,TX789,2025-01-14
TXN-200029,Home Depot,275.00,10001,TX123,2025-02-28
TXN-200030,Uber,31.40,30301,,2025-03-06
TXN-200031,Amazon,142.80,60601,TX456,2025-04-27
TXN-200032,Walmart,52.60,,TX789,2025-05-05
TXN-200033,Target,98.99,94105,TX123,2025-06-12
TXN-200034,Costco,615.00,75201,,2025-01-23
TXN-200035,Best Buy,329.99,10001,TX456,2025-02-15
TXN-200036,Apple,199.00,,TX789,2025-03-31
TXN-200037,Nike,72.50,30301,TX123,2025-04-10
TXN-200038,Starbucks,6.95,60601,,2025-05-28
TXN-200039,Home Depot,410.75,,TX456,2025-06-07
TXN-200040,Uber,26.10,94105,TX789,2025-01-18
TXN-200041,Amazon,88.40,75201,,2025-02-06
TXN-200042,Walmart,134.25,10001,TX123,2025-03-14
TXN-200043,Target,65.90,,TX456,2025-04-21
TXN-200044,Costco,720.00,30301,TX789,2025-05-19
TXN-200045,Best Buy,459.99,60601,,2025-06-02
TXN-200046,Apple,249.00,,TX123,2025-01-29
TXN-200047,Nike,99.99,94105,TX456,2025-02-18
TXN-200048,Starbucks,11.60,75201,TX789,2025-03-27
TXN-200049,Home Depot,189.30,,TX123,2025-04-08
TXN-200050,Uber,14.75,10001,,2025-05-24
TXN-200051,Amazon,310.00,30301,TX456,2025-06-18
TXN-200052,Walmart,41.20,,TX789,2025-01-12
TXN-200053,Target,159.80,60601,TX123,2025-02-24
TXN-200054,Costco,505.55,94105,,2025-03-19
TXN-200055,Best Buy,279.99,,TX456,2025-04-30
TXN-200056,Apple,89.00,75201,TX789,2025-05-15
TXN-200057,Nike,134.90,10001,,2025-06-09
TXN-200058,Starbucks,8.40,30301,TX123,2025-01-26
TXN-200059,Home Depot,365.20,,TX456,2025-02-12
TXN-200060,Uber,22.95,60601,TX789,2025-03-05
TXN-200061,Amazon,57.60,94105,,2025-04-16
TXN-200062,Walmart,98.10,,TX123,2025-05-07
TXN-200063,Target,210.45,75201,TX456,2025-06-22
TXN-200064,Costco,680.00,10001,TX789,2025-01-20
TXN-200065,Best Buy,199.99,30301,,2025-02-07
TXN-200066,Apple,349.00,,TX123,2025-03-25
TXN-200067,Nike,88.30,60601,TX456,2025-04-11
TXN-200068,Starbucks,13.10,94105,,2025-05-29
TXN-200069,Home Depot,248.90,,TX789,2025-06-06
TXN-200070,Uber,19.60,75201,TX123,2025-01-16
TXN-200071,Amazon,175.00,10001,TX456,2025-02-20
TXN-200072,Walmart,63.45,,TX789,2025-03-08
TXN-200073,Target,92.70,30301,TX123,2025-04-24
TXN-200074,Costco,540.30,60601,,2025-05-18
TXN-200075,Best Buy,389.95,,TX456,2025-06-04
TXN-200076,Apple,129.00,94105,TX789,2025-01-28
TXN-200077,Nike,155.80,75201,,2025-02-14
TXN-200078,Starbucks,10.25,,TX123,2025-03-30
TXN-200079,Home Depot,295.60,10001,TX456,2025-04-09
TXN-200080,Uber,27.40,30301,TX789,2025-05-26
TXN-200081,Amazon,204.90,,TX123,2025-06-13
TXN-200082,Walmart,48.75,60601,,2025-01-11
TXN-200083,Target,118.20,94105,TX456,2025-02-23
TXN-200084,Costco,610.00,,TX789,2025-03-21
TXN-200085,Best Buy,529.99,75201,TX123,2025-04-28
TXN-200086,Apple,79.00,10001,,2025-05-14
TXN-200087,Nike,102.45,30301,TX456,2025-06-21
TXN-200088,Starbucks,7.90,60601,TX789,2025-01-24
TXN-200089,Home Depot,430.10,,TX123,2025-02-10
TXN-200090,Uber,16.80,94105,,2025-03-04
TXN-200091,Amazon,66.30,75201,TX456,2025-04-17
TXN-200092,Walmart,112.60,,TX789,2025-05-06
TXN-200093,Target,175.95,10001,TX123,2025-06-17
TXN-200094,Costco,700.00,30301,,2025-01-22
TXN-200095,Best Buy,249.50,60601,TX456,2025-02-16
TXN-200096,Apple,159.00,,TX789,2025-03-28
TXN-200097,Nike,91.70,94105,TX123,2025-04-12
TXN-200098,Starbucks,14.35,75201,,2025-05-27
TXN-200099,Home Depot,320.80,,TX456,2025-06-05
TXN-200100,Uber,24.90,10001,TX789,2025-01-15
